target,q,arm,model,run,tokens_in,tokens_out,cache_read,cache_creation,total_tokens,tool_uses,result_bytes,db_result_bytes,num_turns,duration_ms,build_ms,bringup_ms,cost_usd,used_db_tools,audit_clean,review_count,target_ok,valid,answer_path
mbedtls,Q9,src,haiku,1,161,4472,1283649,77116,1365398,19,63631,0,20,51781,,,0.306528,0,True,0,n/a,True,Q9_haiku_src_r1.md
mbedtls,Q9,src,sonnet,1,8,2784,252031,95065,349888,5,49962,0,6,32713,,,0.689193,0,True,0,n/a,True,Q9_sonnet_src_r1.md
mbedtls,Q9,mcp,haiku,1,113,4045,1005748,57071,1066977,14,85654,28449,15,45315,,,0.23654,7,True,7,ok,True,Q9_haiku_mcp_r1.md
mbedtls,Q9,mcp,sonnet,1,12,3180,474003,58537,535732,10,45294,36468,11,39491,,,0.542644,8,True,2,ok,True,Q9_sonnet_mcp_r1.md
mbedtls,Q10,src,haiku,1,305,9431,2759821,85265,2854822,37,52276,0,38,102584,,,0.495382,0,True,0,n/a,True,Q10_haiku_src_r1.md
mbedtls,Q10,src,sonnet,1,16,4834,602541,89593,696984,9,29116,0,10,59353,,,0.792283,0,True,0,n/a,True,Q10_sonnet_src_r1.md
mbedtls,Q10,mcp,haiku,1,137,7433,1162320,58873,1228763,19,69627,59263,20,98517,,,0.272765,18,True,1,ok,True,Q10_haiku_mcp_r1.md
mbedtls,Q10,mcp,sonnet,1,26,10128,1301953,76795,1388902,17,58084,55000,18,121484,,,1.004839,14,True,3,ok,True,Q10_sonnet_mcp_r1.md
mbedtls,Q11,src,haiku,1,177,4891,1655209,96289,1756566,21,102966,0,22,60455,,,0.384134,0,True,0,n/a,True,Q11_haiku_src_r1.md
mbedtls,Q11,src,sonnet,1,32,6557,1304415,90878,1401882,26,29410,0,27,99134,,,1.036447,0,True,0,n/a,True,Q11_sonnet_src_r1.md
mbedtls,Q11,mcp,haiku,1,161,4585,1432699,54691,1492136,19,67772,17306,20,55796,,,0.277216,5,True,14,ok,True,Q11_haiku_mcp_r1.md
mbedtls,Q11,mcp,sonnet,1,36,7914,1719542,65519,1793011,24,48048,20889,25,95360,,,1.029283,7,True,17,ok,True,Q11_sonnet_mcp_r1.md
